,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
0,q01,fedx,0,0,MD,success,,1.0,20.0,1.0,137.0,577.0,2.0,166.0,3734.0,2632.0,3.778558,success,3157.0
1,q01,fedx,0,0,MD,success,,1.0,20.0,1.0,137.0,554.0,3.0,174.0,3867.0,2640.0,3.780931,success,3313.0
2,q01,fedx,0,0,MD,success,,1.0,20.0,1.0,137.0,588.0,3.0,173.0,3942.0,2639.0,3.7806349999999997,success,3354.0
3,q01,costfed,0,0,MD,success,,1.0,20.0,1.0,114.0,298.0,344.0,100.0,565.0,214.0,0.10935199999999999,success,267.0
4,q01,costfed,0,0,MD,success,,1.0,20.0,1.0,114.0,239.0,282.0,100.0,491.0,214.0,0.10935199999999999,success,252.0
5,q01,costfed,0,0,MD,success,,1.0,20.0,1.0,114.0,308.0,354.0,100.0,604.0,214.0,0.10935199999999999,success,296.0
6,q01,splendid,0,0,MD,timeout,120000.0,,20.0,1.0,137.0,709.0,2362.0,0.0,,447.0,497.673686,timeout,
7,q01,splendid,0,0,MD,success,,,20.0,1.0,137.0,699.0,2387.0,0.0,2410.0,280.0,0.012086,success,1711.0
8,q01,splendid,0,0,MD,success,,,20.0,1.0,137.0,670.0,2311.0,0.0,2332.0,280.0,0.012086,success,1662.0
9,q01,semagrow,0,0,MD,success,,1.0,20.0,1.0,137.0,1000.0,354.0,160.0,1926.0,453.0,0.23096699999999998,success,926.0
10,q01,semagrow,0,0,MD,success,,1.0,20.0,1.0,137.0,1126.0,343.0,160.0,2229.0,549.0,0.277809,success,1103.0
11,q01,semagrow,0,0,MD,success,,1.0,20.0,1.0,137.0,1107.0,344.0,160.0,4148.0,2569.0,1.5596029999999999,success,3041.0
12,q01,anapsid,0,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
13,q01,anapsid,0,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
14,q01,anapsid,0,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
15,q01,fedup_h0,0,0,MD,success,,1.0,5.0,0.25,40.0,0.1,,40.0,17.0,45.0,0.027025,success,16.9
16,q01,fedup_h0,0,0,MD,success,,1.0,5.0,0.25,40.0,1.0,,40.0,7.0,45.0,0.027025,success,6.0
17,q01,fedup_h0,0,0,MD,success,,1.0,5.0,0.25,40.0,0.1,,40.0,7.0,45.0,0.027025,success,6.9
18,q01,rsa,0,0,MD,success,,1.0,1.0,0.05,8.0,,,0.0,31.480073928833008,1.0,0.000757,success,
19,q01,rsa,0,0,MD,success,,1.0,1.0,0.05,8.0,,,0.0,29.027462005615234,1.0,0.000757,success,
20,q01,rsa,0,0,MD,success,,1.0,1.0,0.05,8.0,,,0.0,29.28757667541504,1.0,0.000757,success,
21,q01,fedx,1,0,MD,success,,1.0,40.0,1.0,278.0,853.0,3.0,344.0,18067.0,12288.0,13.756485,success,17214.0
22,q01,fedx,1,0,MD,success,,1.0,40.0,1.0,278.0,842.0,3.0,358.0,18529.0,12302.0,13.762870999999999,success,17687.0
23,q01,fedx,1,0,MD,success,,1.0,40.0,1.0,278.0,764.0,4.0,338.0,17625.0,12282.0,13.754128,success,16861.0
24,q01,costfed,1,0,MD,success,,1.0,40.0,1.0,236.0,341.0,392.0,200.0,874.0,436.0,0.26952699999999996,success,533.0
25,q01,costfed,1,0,MD,success,,1.0,40.0,1.0,236.0,383.0,441.0,200.0,887.0,436.0,0.269526,success,504.0
26,q01,costfed,1,0,MD,success,,1.0,40.0,1.0,236.0,399.0,466.0,200.0,931.0,436.0,0.269517,success,532.0
27,q01,splendid,1,0,MD,success,,,40.0,1.0,278.0,1052.0,4302.0,0.0,4334.0,560.0,0.024163999999999998,success,3282.0
28,q01,splendid,1,0,MD,timeout,120000.0,,40.0,1.0,278.0,1006.0,4297.0,0.0,,880.0,700.714526,timeout,
29,q01,splendid,1,0,MD,timeout,120000.0,,40.0,1.0,278.0,956.0,4176.0,0.0,,880.0,700.714526,timeout,
30,q01,semagrow,1,0,MD,success,,1.0,40.0,1.0,278.0,1526.0,472.0,320.0,3316.0,1323.0,0.7064349999999999,success,1790.0
31,q01,semagrow,1,0,MD,success,,1.0,40.0,1.0,278.0,1457.0,495.0,320.0,10940.0,10208.0,6.111574999999999,success,9483.0
32,q01,semagrow,1,0,MD,success,,1.0,40.0,1.0,278.0,1501.0,473.0,320.0,11762.0,14013.0,7.915194,success,10261.0
33,q01,anapsid,1,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
34,q01,anapsid,1,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
35,q01,anapsid,1,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
36,q01,fedup_h0,1,0,MD,success,,1.0,13.0,0.325,104.0,1.0,,80.0,35.0,93.0,0.054845,success,34.0
37,q01,fedup_h0,1,0,MD,success,,1.0,13.0,0.325,104.0,1.0,,80.0,14.0,93.0,0.054845,success,13.0
38,q01,fedup_h0,1,0,MD,success,,1.0,13.0,0.325,104.0,1.0,,80.0,16.0,93.0,0.054845,success,15.0
39,q01,rsa,1,0,MD,success,,1.0,1.0,0.025,8.0,,,0.0,32.59396553039551,1.0,0.000757,success,
40,q01,rsa,1,0,MD,success,,1.0,1.0,0.025,8.0,,,0.0,34.8820686340332,1.0,0.000757,success,
41,q01,rsa,1,0,MD,success,,1.0,1.0,0.025,8.0,,,0.0,37.19043731689453,1.0,0.000757,success,
42,q01,fedx,2,0,MD,success,,1.0,60.0,1.0,421.0,871.0,4.0,501.0,34143.0,25436.0,25.673289999999998,success,33272.0
43,q01,fedx,2,0,MD,success,,1.0,60.0,1.0,421.0,864.0,15.0,501.0,35692.0,25436.0,25.673657,success,34828.0
44,q01,fedx,2,0,MD,success,,1.0,60.0,1.0,421.0,927.0,4.0,504.0,36165.0,25439.0,25.674522,success,35238.0
45,q01,costfed,2,0,MD,success,,1.0,60.0,1.0,362.0,418.0,496.0,300.0,1420.0,825.0,0.508562,success,1002.0
46,q01,costfed,2,0,MD,success,,1.0,60.0,1.0,362.0,392.0,478.0,300.0,1306.0,825.0,0.508559,success,914.0
47,q01,costfed,2,0,MD,success,,1.0,60.0,1.0,362.0,415.0,489.0,300.0,1333.0,825.0,0.50854,success,918.0
48,q01,splendid,2,0,MD,timeout,120000.0,,60.0,1.0,421.0,1346.0,6272.0,0.0,,1305.0,399.70879399999995,timeout,
49,q01,splendid,2,0,MD,success,,,60.0,1.0,421.0,1307.0,5809.0,0.0,5846.0,840.0,0.036238,success,4539.0
50,q01,splendid,2,0,MD,success,,,60.0,1.0,421.0,1286.0,5795.0,0.0,5828.0,840.0,0.036238,success,4542.0
51,q01,semagrow,2,0,MD,success,,1.0,60.0,1.0,421.0,1876.0,530.0,480.0,5728.0,3413.0,1.894415,success,3852.0
52,q01,semagrow,2,0,MD,success,,1.0,60.0,1.0,421.0,1746.0,546.0,480.0,17778.0,17744.0,10.501574,success,16032.0
53,q01,semagrow,2,0,MD,success,,1.0,60.0,1.0,421.0,1772.0,546.0,480.0,5735.0,3413.0,1.900015,success,3963.0
54,q01,anapsid,2,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
55,q01,anapsid,2,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
56,q01,anapsid,2,0,MD,error_runtime,120000.0,,,,,,,0.0,,0.0,0.0,error_runtime,
57,q01,fedup_h0,2,0,MD,success,,1.0,18.0,0.3,144.0,1.0,,120.0,68.0,138.0,0.08170999999999999,success,67.0
58,q01,fedup_h0,2,0,MD,success,,1.0,18.0,0.3,144.0,1.0,,120.0,16.0,138.0,0.08170999999999999,success,15.0
59,q01,fedup_h0,2,0,MD,success,,1.0,18.0,0.3,144.0,1.0,,120.0,17.0,138.0,0.08170999999999999,success,16.0
60,q01,rsa,2,0,MD,success,,1.0,1.0,0.0166666666666666,8.0,,,0.0,37.58835792541504,1.0,0.000757,success,
61,q01,rsa,2,0,MD,success,,1.0,1.0,0.0166666666666666,8.0,,,0.0,38.19990158081055,1.0,0.000757,success,
62,q01,rsa,2,0,MD,success,,1.0,1.0,0.0166666666666666,8.0,,,0.0,34.95597839355469,1.0,0.000757,success,
63,q01,fedx,3,0,MD,success,,3.0,80.0,1.0,562.0,973.0,3.0,670.0,70939.0,48288.0,45.845164,success,69966.0
64,q01,fedx,3,0,MD,success,,3.0,80.0,1.0,562.0,1053.0,3.0,722.0,70577.0,48340.0,45.859984999999995,success,69524.0
65,q01,fedx,3,0,MD,success,,3.0,80.0,1.0,562.0,994.0,3.0,722.0,70217.0,48340.0,45.860659999999996,success,69223.0
66,q01,costfed,3,0,MD,success,,3.0,80.0,1.0,484.0,459.0,534.0,400.0,1785.0,1126.0,0.781605,success,1326.0
67,q01,costfed,3,0,MD,success,,3.0,80.0,1.0,484.0,541.0,630.0,400.0,1732.0,1126.0,0.7816179999999999,success,1191.0
