,query,approach,metric,run,value
0,S1,FedX,CostFed with the same query optimizer as others,3.0,0.0
1,S1,FedX,Source Selection Time,3.0,0.034199999999999994
2,S1,FedX,Execution Time,3.0,0.0112
3,S1,FedX,Timeout,3.0,0.0
4,S1,HiBiscuS,CostFed with the same query optimizer as others,3.0,0.0
5,S1,HiBiscuS,Source Selection Time,3.0,0.03
6,S1,HiBiscuS,Execution Time,3.0,0.0072
7,S1,HiBiscuS,Timeout,3.0,0.0
8,S1,CostFed,CostFed with the same query optimizer as others,3.0,-0.0008
9,S1,CostFed,Source Selection Time,3.0,0.032600000000000004
10,S1,CostFed,Execution Time,3.0,0.0076
11,S1,CostFed,Timeout,3.0,0.0
12,S1,FedUP,CostFed with the same query optimizer as others,3.0,0.0
13,S1,FedUP,Source Selection Time,3.0,0.0098
14,S1,FedUP,Execution Time,3.0,0.051000000000000004
15,S1,FedUP,Timeout,3.0,0.0
16,S1,RSA,CostFed with the same query optimizer as others,3.0,0.0
17,S1,RSA,Source Selection Time,3.0,0.0
18,S1,RSA,Execution Time,3.0,0.40700000000000003
19,S1,RSA,Timeout,3.0,0.0
20,S2,FedX,CostFed with the same query optimizer as others,3.0,0.0
21,S2,FedX,Source Selection Time,3.0,0.0222
22,S2,FedX,Execution Time,3.0,0.0048000000000000004
23,S2,FedX,Timeout,3.0,0.0
24,S2,HiBiscuS,CostFed with the same query optimizer as others,3.0,0.0
25,S2,HiBiscuS,Source Selection Time,3.0,0.0128
26,S2,HiBiscuS,Execution Time,3.0,0.0056
27,S2,HiBiscuS,Timeout,3.0,0.0
28,S2,CostFed,CostFed with the same query optimizer as others,3.0,-0.0021999999999999997
29,S2,CostFed,Source Selection Time,3.0,0.017599999999999998
30,S2,CostFed,Execution Time,3.0,0.0076
31,S2,CostFed,Timeout,3.0,0.0
32,S2,FedUP,CostFed with the same query optimizer as others,3.0,0.0
33,S2,FedUP,Source Selection Time,3.0,0.0004
34,S2,FedUP,Execution Time,3.0,0.007000000000000001
35,S2,FedUP,Timeout,3.0,0.0
36,S2,RSA,CostFed with the same query optimizer as others,3.0,0.0
37,S2,RSA,Source Selection Time,3.0,0.0
38,S2,RSA,Execution Time,3.0,0.39540000000000003
39,S2,RSA,Timeout,3.0,0.0
40,S3,FedX,CostFed with the same query optimizer as others,3.0,0.0
41,S3,FedX,Source Selection Time,3.0,0.030200000000000005
